Ref_ID,liba_lat,liba_long,litter_long,litter_lat
1625,38.225057440130136,-85.69510465961581,-85.6951681897842,38.2251175074263
26987,38.23164088099749,-85.7079662653218,-85.7074131307262,38.2316355934442
23843,38.24869626856188,-85.73095786500782,-85.73464064,38.2442539
24437,38.228993704901086,-85.70179627436322,-85.7013875879459,38.2288632843921
23843,38.249655366291776,-85.73152956970794,-85.73464064,38.2442539
11172,38.23251239189535,-85.7103851061123,-85.7102844492399,38.2324054884149
10627,38.23490152255367,-85.71447303311788,-85.7148161251896,38.2350273896365
15008,38.23544700897377,-85.71546127467866,-85.7155716699415,38.2354419166578
10627,38.23504856209608,-85.71474011079195,-85.7148161251896,38.2350273896365
27994,38.24668917568359,-85.72938930522771,-85.7272872236424,38.2438933896257
23843,38.24869626856188,-85.73095786500782,-85.73464064,38.2442539
16164,38.23289984428083,-85.71108922687004,-85.7108913828486,38.2328610867618
29659,38.236772423290184,-85.71788089095361,-85.7171467971855,38.2363746967523
23245,38.23132912252862,-85.70658670624331,-85.7067848724578,38.2314013541565
10627,38.23501196179744,-85.71467328243033,-85.7148161251896,38.2350273896365
28790,38.230992241284774,-85.70522472755536,-85.7054047566705,38.2309267111479
28790,38.23117202339421,-85.70589628232868,-85.7060107271506,38.2313308777756
29789,38.237763477037234,-85.71992353460858,-85.7197693270498,38.2376797171666
1625,38.22504729414765,-85.69507867657997,-85.6951681897842,38.2251175074263
16164,38.23286109182297,-85.71101958176293,-85.7108913828486,38.2328610867618
9109,38.21401770438942,-85.67339806186298,-85.67333694,38.21400411
12513,38.25092267971271,-85.73246719536652,-85.73464064,38.2442539
20454,38.24116164253387,-85.7251001856747,-85.7250281330996,38.241187795101
726,38.21611190177145,-85.67532951841369,-85.67482502,38.21580788
9875,38.230730951937545,-85.70485959706856,-85.7043903787487,38.230636278203
12154,38.239913356471966,-85.72359616868988,-85.7235369925254,38.2397771627067
15847,38.245225609622466,-85.728084545669,-85.7272872236424,38.2438933896257
1625,38.22500599196224,-85.69498073823821,-85.6949632522517,38.2248766953482
4640,38.230536167365955,-85.70444788862916,-85.7043903787487,38.230636278203
15008,38.23544700897377,-85.71546127467866,-85.7155716699415,38.2354419166578
22215,38.22451751062316,-85.69397012003658,-85.6940950326628,38.2245468500403
32643,38.213258344611454,-85.67297615505433,-85.67274565,38.21329507
28790,38.231032466942274,-85.70578834478692,-85.7055596482593,38.231240742802
21369,38.223568982773955,-85.68635410458214,-85.6862380752485,38.2236303632275
32648,38.23749156451975,-85.71943537507977,-85.7197693270498,38.2376797171666
16164,38.232977280153264,-85.71122828597183,-85.7113849093073,38.2330697123317
20454,38.24065798620875,-85.72470268751952,-85.724571989929,38.2407022314502
16164,38.23284224317542,-85.71072579601233,-85.7108913828486,38.2328610867618
27994,38.24668917568359,-85.72938930522771,-85.7272872236424,38.2438933896257
1732,38.23340455186713,-85.71199608234798,-85.7119221893006,38.2334831497057
12154,38.23984665322299,-85.72347565369462,-85.7235369925254,38.2397771627067
9875,38.23082730442819,-85.70479273989979,-85.7043903787487,38.230636278203
32648,38.237466189226595,-85.71914507360688,-85.719053596338,38.2372953649966
4640,38.23055323033419,-85.70448013769037,-85.7043903787487,38.230636278203
11356,38.23202540089323,-85.70925514345063,-85.709526054641,38.2320250338299
23245,38.231244968446774,-85.70621569016905,-85.7060107271506,38.2313308777756
9109,38.213758898285505,-85.67336544254121,-85.67333694,38.21400411
27994,38.24668917568359,-85.72938930522771,-85.7272872236424,38.2438933896257
11172,38.23259908941142,-85.71054248745969,-85.710562141692,38.2328063948436
23843,38.24976423986278,-85.73161633748879,-85.73464064,38.2442539
2352,38.231583236894984,-85.70770552385291,-85.7074131307262,38.2316355934442
1732,38.233653902524914,-85.71221412026026,-85.71221916013,38.2336230017601
19898,38.2354845107056,-85.71553006178804,-85.7155716699415,38.2354419166578
27994,38.24668917568359,-85.72938930522771,-85.7272872236424,38.2438933896257
28790,38.23101116371874,-85.70569766669452,-85.7054047566705,38.2309267111479
9109,38.21396476627942,-85.67352004546774,-85.67333694,38.21400411
32695,38.24541512837771,-85.72839531304508,-85.7272872236424,38.2438933896257
23245,38.23111834337433,-85.70616146756849,-85.7060107271506,38.2313308777756
1625,38.22506758610683,-85.6951306426589,-85.6951681897842,38.2251175074263
27841,38.224035344238565,-85.69021351207084,-85.6909877993965,38.2242270559428
9109,38.2136073036735,-85.67324811557631,-85.67333694,38.21400411
19898,38.23632433447511,-85.71731933500966,-85.7171467971855,38.2363746967523
15847,38.245353703174665,-85.72818465521699,-85.7272872236424,38.2438933896257
4728,38.22821783556522,-85.70059085315366,-85.7008500382864,38.2283210487191
199,38.241990950327,-85.7255902686524,-85.7257186342829,38.2421834813787
11264,38.23706411667438,-85.7186556703855,-85.7187178172969,38.2370719872771
1625,38.22506758610683,-85.6951306426589,-85.6951681897842,38.2251175074263
4640,38.230476446906735,-85.70433501703418,-85.7043903787487,38.230636278203
4640,38.230544698851176,-85.70446401315787,-85.7043903787487,38.230636278203
19898,38.23632433447511,-85.71731933500966,-85.7171467971855,38.2363746967523
28790,38.23103351024046,-85.7053568266054,-85.7054047566705,38.2309267111479
18791,38.24023860637782,-85.72416229002619,-85.72434303,38.24012663
12154,38.239813153272905,-85.72341457737573,-85.7235369925254,38.2397771627067
9109,38.21365783522417,-85.67328722451023,-85.67333694,38.21400411
