Needed,Latitude,Longitude,Stop ID
Baxter Ave @ E Breckinridge,38.242867,-85.726441,17580
Baxter Ave @ E Breckinridge,38.242804,-85.726229,19760
Baxter @ Highland,38.240179,-85.724018,19750
Louisville Beauty Academy,38.2393,-85.722441,
Bardstown @ Patterson,38.237383,-85.71901,19740
VCA Farleigh Animal Hospital,38.236736,-85.718087,
Time & Space,38.235849,-85.716054,
Dairy Mart,38.234223,-85.71322,
Comfy Cow,38.232136,-85.709358,
Dreams With Wings,38.230987,-85.705214,
Bombay,38.230689,-85.70448,
Superchefs,38.230003,-85.703588,
Liquor World,38.228537,-85.701098,
DiOrio's,38.2239,-85.693662,
Diamond Station/Left Field,38.224078,-85.691388,
Taylorsville @ Bardstown,38.223127,-85.684573,24760
Subway,38.222894,-85.684576,
Bambi Bar,38.22148,-85.682054,
Bardstown @ Emerson,38.219785,-85.680046,
Shell,38.21645,-85.675495,
Bardstown @ Wadsworth,38.215008,-85.674341,17845
Bardstown @ Brighton,38.213851,-85.673442,17850
